Zone#,Population
1,2108
2,0
3,0
4,431
5,73
6,9
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,1430
16,945
17,3689
18,8996
19,2615
20,1679
21,17177
22,7966
23,3595
24,3627
25,4843
26,7224
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,2907
35,1964
36,2304
37,3544
38,7120
39,1969
40,4341
41,3536
42,3590
43,1732
44,3213
45,3137
46,7197
47,1916
48,3294
49,18
50,4592
51,1434
52,0
53,1095
54,0
55,118
56,30
57,1070
58,0
59,780
60,2191
61,3912
62,3383
63,436
64,2569
65,2151
66,3013
67,4428
68,3075
69,42
70,1005
71,6904
72,6789
73,2396
74,4076
75,4227
76,6091
77,2338
78,2034
79,3466
80,1677
81,1094
82,3201
83,1224
84,6670
85,0
86,0
87,0
88,0
89,4446
90,16368
91,5432
92,3008
93,5943
94,5231
95,3754
96,4102
97,4264
98,3653
99,5441
100,3413
101,5581
102,2943
103,3693
104,5054
105,8960
106,8244
107,5216
108,5021
109,7146
110,18703
111,0
112,0
113,6332
114,4885
115,6461
116,6857
117,3264
118,2844
119,7570
120,6044
121,354
122,7083
123,3486
124,5338
125,6782
126,4868
127,4315
128,3013
129,4691
130,6446
131,7949
132,5027
133,7392
134,4725
135,4222
136,0
137,5325
138,3699
139,9742
140,3597
141,0
142,2403
143,7662
144,3158
145,3412
146,675
147,7363
148,5387
149,2887
150,7928
151,1650
152,3837
153,7280
154,6736
155,2915
156,255
157,687
158,5727
159,42
160,540
161,3155
162,3500
163,8100
164,7943
165,7142
166,5822
167,5165
168,617
169,4030
170,5769
171,3808
172,5728
173,11300
174,2688
175,4650
176,4377
177,12100
178,4826
179,3328
180,175
181,7147
182,8731
183,6556
184,5458
185,4641
186,5435
187,2448
188,3580
189,2149
190,781
191,5696
192,3997
193,6969
194,4564
195,5639
196,9697
197,7287
198,2838
199,3610
200,4346
201,6184
202,7500
203,2976
204,4290
205,6201
206,1857
207,5858
208,0
209,9046
210,7337
211,11179
212,8141
213,2769
214,4990
215,3214
216,10717
217,7704
218,971
219,5804
220,215
221,0
222,21166
223,20249
224,1023
225,437
226,619
227,3588
228,3856
229,5613
230,7946
231,51
232,6827
233,10392
234,4219
235,2210
236,1537
237,5843
238,5269
239,13493
240,0
241,5285
242,2564
243,7024
244,6055
245,5257
246,0
247,4318
248,3654
249,19506
250,13214
251,8088
252,7308
253,6917
254,5930
255,5158
256,4810
257,7335
258,8292
259,7643
260,639
261,3014
262,3461
263,6399
264,6946
265,4292
266,7342
267,3052
268,2365
269,7382
270,6544
271,6812
272,5484
273,4382
274,3147
275,1285
276,2112
277,3300
278,3235
279,3381
280,3481
281,8078
282,12186
283,725
284,2071
285,5074
286,5424
287,10774
288,5998
289,1133
290,4524
291,2859
292,0
293,2431
294,4907
295,4511
296,215
297,5251
298,5908
299,27
300,1315
301,7106
302,2889
303,221
304,5121
305,5495
306,4805
307,1691
308,0
309,282
310,191
311,0
312,2951
313,10089
314,2772
315,2824
316,3146
317,2745
318,2053
319,3131
320,1429
321,2897
322,4104
323,2844
324,4811
325,6869
326,2988
327,1932
328,2396
329,3926
330,2287
331,1170
332,4225
333,2149
334,4438
335,2507
336,7453
337,3401
338,2787
339,2565
340,1733
341,2832
342,8376
343,3952
344,2579
345,3960
346,5530
347,5435
348,4218
349,4529
350,6204
351,5528
352,1925
353,9034
354,206
355,0
356,0
357,0
358,0
359,0
360,94
361,0
362,0
363,5035
364,2676
365,4857
366,4104
367,30
368,6414
369,3093
370,9269
371,6788
372,3778
373,4653
374,5856
375,6542
376,6927
377,2207
378,0
379,0
380,2946
381,2567
382,7749
383,11464
384,2942
385,7628
386,555
387,0
388,14
389,9331
390,10288
391,596
392,0
393,0
394,71
395,89
396,8458
397,4660
398,3178
399,3415
400,13358
401,5635
402,4297
403,10943
404,4459
405,2093
406,7113
407,9498
408,49
409,2941
410,5497
411,8700
412,6426
413,5330
414,4194
415,979
416,0
417,128
418,0
419,18
420,854
421,0
422,4780
423,831
424,8456
425,2607
426,2199
427,4170
428,9370
429,1885
430,1807
431,13151
432,4791
433,2493
434,2630
435,4495
436,4478
437,6662
438,5591
439,4028
440,5386
441,4810
442,5188
443,6418
444,2545
445,1325
446,3327
447,2311
448,4150
449,820
450,10035
451,3811
452,9304
453,2520
454,5763
455,4997
456,3559
457,7499
458,2033
459,4970
460,5813
461,3797
462,4317
463,5650
464,3775
465,587
466,2802
467,10202
468,6112
469,4236
470,3588
471,2827
472,2922
473,0
474,2114
475,1993
476,1856
477,3316
478,6010
479,2734
480,6252
481,7907
482,6507
483,7413
484,0
485,5074
486,0
487,8563
488,0
489,540
490,4113
491,6608
492,1358
493,0
494,3863
495,3787
496,5264
497,8077
498,3648
499,2479
500,2574
501,2574
502,3743
503,2665
504,2218
505,5803
506,5262
507,5211
508,0
509,6177
510,6640
511,506
512,7208
513,3491
514,2680
515,13164
516,1057
517,4195
518,4243
519,1615
520,6384
521,6280
522,3194
523,8978
524,6506
525,42
526,432
527,358
528,4984
529,0
530,402
531,9642
532,8773
533,3290
534,2737
535,3199
536,10173
537,6558
538,13857
539,2214
540,2752
541,2370
542,3103
543,4357
544,7359
545,6316
546,3702
547,1929
548,2259
549,5920
550,1135
551,1956
552,6671
553,619
554,6265
555,5102
556,73
557,2867
558,1669
559,7165
560,5251
561,347
562,6172
563,4654
564,518
565,5004
566,143
567,1417
568,5731
569,6523
570,8718
571,10439
572,7656
573,1911
574,3140
575,5510
576,0
577,2337
578,3621
579,7631
580,2766
581,2418
582,2525
583,4241
584,3933
585,4170
586,4608
587,8168
588,6732
589,81
590,7667
591,12720
592,12167
593,7844
594,5270
595,6757
596,8490
597,4505
598,0
599,1395
600,17298
601,9427
602,3319
603,2163
604,0
605,0
606,8098
607,6047
608,7093
609,0
610,31
611,739
612,0
613,9858
614,276
615,203
616,0
617,7584
618,6342
619,7261
620,9363
621,12152
622,12957
623,0
624,6384
625,485
1001,291
1002,1687
1003,1572
1004,0
1005,28
1006,0
1007,182
1008,146
1009,36
1010,0
1011,109
1012,838
1013,0
1014,29
1015,0
1016,0
1017,563
1018,150
1019,42
1020,29
1021,0
1022,29
1023,43
1024,369
1025,50
1026,0
1027,36
1028,302
1029,1933
1030,1431
1031,1814
1032,8661
1033,1375
1034,4285
1035,6939
1036,3864
1037,5803
1038,7034
1039,5698
1040,2400
1041,47
1042,154
1043,3252
1044,3232
1045,1476
1046,5118
1047,2157
1048,115
1049,8148
1050,2360
1051,0
1052,4635
1053,50
1054,43
1055,0
1056,0
1057,31
1058,16
1059,458
1060,5590
1061,7581
1062,3094
1063,5842
1064,0
1065,2571
1066,92
1067,1885
1068,6255
1069,7533
1070,0
1071,0
1072,2203
1073,36
1074,4959
1075,9896
1076,5014
1077,121
1078,136
1079,0
1080,631
1081,1910
1082,5587
1083,587
1084,1543
1085,1348
1086,0
1087,0
1088,933
1089,3879
1090,0
1091,0
1092,0
1093,4027
1094,1332
1095,7123
1096,7312
1097,9984
1098,267
1099,578
1100,532
1101,213
1102,333
1103,178
1104,0
1105,0
1106,13130
1107,3411
1108,28
1109,128
1110,2020
1111,186
1112,0
1113,31
1114,0
1115,52
1116,1133
1117,3861
1118,975
1119,0
1120,0
1121,7363
1122,4204
1123,5628
1124,9755
1125,14094
1126,0
1127,0
1128,3397
1129,4151
1130,1328
1131,651
1132,1631
1133,1273
1134,2802
1135,2880
1136,6468
1137,2973
1138,248
1139,0
1140,2320
1141,943
1142,1226
1143,1029
1144,2329
1145,1550
1146,0
1147,14373
1148,0
1149,0
1150,0
1151,0
1152,14
1153,2602
1154,29
1155,80
1156,430
1157,556
1158,0
1159,0
1160,100
1161,131
1162,0
1163,0
1164,36
1165,0
1166,0
1167,0
1168,84
1169,0
1170,71
1171,0
1172,0
1173,3470
1174,21
1175,0
1176,31
1177,57
1178,43
1179,1991
1180,4035
1181,10682
1182,6143
1183,2092
1184,12
1185,3105
1186,2916
1187,6478
1188,10945
1189,7062
1190,4768
1191,2032
1192,3091
1193,2898
1194,1546
1195,293
1196,486
1197,3708
1198,1089
1199,488
1200,5791
1201,3994
1202,6339
1203,2191
1204,4100
1205,408
1206,1012
1207,3346
1208,660
1209,2785
1210,6810
1211,5149
1212,0
1213,1757
1214,872
1215,2649
1216,5003
1217,0
1218,592
1219,3536
1220,5061
1221,2406
1222,3468
1223,716
1224,122
1225,0
1226,890
1227,1143
1228,1176
1229,2404
1230,251
1231,425
1232,243
1233,1148
1234,807
1235,994
1236,140
1237,2507
1238,5225
1239,0
1240,712
1241,10069
1242,2402
1243,2951
1244,24
1245,143
1246,0
1247,84
1248,0
1249,562
1250,446
1251,0
1252,0
1253,0
1254,6067
1255,31
1256,127
1257,0
1258,7724
1259,4011
1260,1938
1261,6201
1262,3114
1263,1537
1264,1971
1265,0
1266,169
1267,35
1268,111
1269,281
1270,62
1271,19
1272,0
1273,24
1274,1431
1275,666
1276,11
1277,703
1278,949
1279,1805
1280,1210
1281,729
1282,137
1283,134
1284,0
1285,82
1286,1907
1287,3574
1288,1124
1289,1285
1290,307
1291,303
1292,55
1293,510
1294,1925
1295,1920
1296,53
1297,138
1298,592
1299,2350
1300,3298
1301,907
1302,944
1303,456
1304,1865
1305,2093
1306,901
1307,723
1308,647
1309,946
1310,1279
1311,2011
1312,1776
1313,727
1314,1718
1315,1113
1316,577
1317,4486
1318,5604
1319,826
1320,1120
1321,675
1322,25
1323,168
1324,540
1325,2192
1326,687
1327,213
1328,1370
1329,416
1330,2185
1331,939
1332,1307
1333,854
1334,462
2001,0
2002,0
2003,0
2004,0
2005,0
2006,38
2007,0
2008,31
2009,0
2010,0
2011,0
2012,36
2013,16
2014,319
2015,90
2016,273
2017,215
2018,214
2019,1116
2020,1162
2021,510
2022,11947
2023,4291
2024,2592
2025,2204
2026,1956
2027,5287
2028,4829
2029,637
2030,2202
2031,33
2032,0
2033,0
2034,133
2035,0
2036,1358
2037,31
2038,0
2039,223
2040,1337
2041,422
2042,1907
2043,1003
2044,239
2045,0
2046,198
2047,0
2048,184
2049,0
2050,84
2051,501
2052,0
2053,4670
2054,9430
2055,12708
2056,2858
2057,6187
2058,6057
2059,1842
2060,8639
2061,1327
2062,0
2063,0
2064,0
2065,53
2066,0
2067,0
2068,0
2069,87
2070,0
2071,0
2072,10027
2073,7763
2074,842
2075,45
2076,144
2077,0
2078,10341
2079,0
2080,2336
2081,0
2082,0
2083,21
2084,0
2085,0
2086,0
2087,0
2088,0
2089,0
2090,0
2091,108
2092,0
2093,0
2094,0
2095,0
2096,301
2097,596
2098,7204
2099,4155
2100,5526
2101,12023
2102,0
2103,44
2104,3547
2105,2125
2106,56
2107,6983
2108,11754
2109,42
2110,8696
2111,832
2112,0
2113,0
2114,46
2115,0
2116,629
2117,42
2118,0
2119,34
2120,5201
2121,4256
2122,8498
2123,6191
2124,2556
2125,2884
2126,1863
2127,3488
2128,5590
2129,6598
2130,1561
2131,3783
2132,2499
2133,6055
2134,1347
2135,3498
2136,1721
2137,362
2138,87
2139,4246
2140,1346
2141,5929
2142,6124
